"county","tract","bg","cntyname","LandSQMI","afact"
"County code","Tract","Block group","County name","Land area (sq. mi.)","_us_ to bg allocation factor"
"53011","0412.01","3","Clark WA",0.4287,0 
"53011","0412.01","4","Clark WA",0.3044,0 
"53011","0412.01","5","Clark WA",0.4872,0 
"53011","0412.03","1","Clark WA",0.5133,0 
"53011","0412.03","2","Clark WA",0.7178,0 
"53011","0412.03","3","Clark WA",0.2772,0 
"53011","0412.05","1","Clark WA",0.4259,0 
"53011","0412.05","2","Clark WA",0.2917,0 
"53011","0412.05","3","Clark WA",0.231,0 
"53011","0412.06","1","Clark WA",0.3272,0 
"53011","0412.06","2","Clark WA",0.471,0 
"53011","0412.06","3","Clark WA",0.3983,0 
"53011","0413.09","1","Clark WA",0.7151,0 
"53011","0413.09","2","Clark WA",0.1411,0 
"53011","0413.09","3","Clark WA",0.2784,0 
"53011","0413.10","1","Clark WA",0.3156,0 
"53011","0413.10","2","Clark WA",0.125,0 
"53011","0413.10","3","Clark WA",0.3973,0 
"53011","0413.10","4","Clark WA",0.5272,0 
"53011","0413.12","1","Clark WA",0.3067,0 
"53011","0413.12","2","Clark WA",0.7392,0 
"53011","0413.13","1","Clark WA",0.7036,0 
"53011","0413.17","1","Clark WA",0.4185,0 
"53011","0413.17","2","Clark WA",0.3607,0 
"53011","0413.17","3","Clark WA",0.3575,0 
"53011","0413.18","1","Clark WA",0.1518,0 
"53011","0413.18","2","Clark WA",0.1847,0 
"53011","0413.18","3","Clark WA",0.6044,0 
"53011","0413.18","4","Clark WA",0.3964,0 
"53011","0413.19","1","Clark WA",0.599,0 
"53011","0413.19","2","Clark WA",0.4365,0 
"53011","0413.19","3","Clark WA",0.2205,0 
"53011","0413.20","1","Clark WA",0.2718,0 
"53011","0413.20","2","Clark WA",0.1634,0 
"53011","0413.20","3","Clark WA",0.1458,0 
"53011","0413.20","4","Clark WA",0.2784,0 
"53011","0413.21","1","Clark WA",0.4707,0 
"53011","0413.21","2","Clark WA",1.073,0 
"53011","0413.22","1","Clark WA",0.5052,0 
"53011","0413.22","2","Clark WA",0.1447,0 
"53011","0413.22","3","Clark WA",0.194,0 
"53011","0413.23","1","Clark WA",0.2577,0 
"53011","0413.23","2","Clark WA",0.2633,0 
"53011","0413.23","3","Clark WA",0.1339,0 
"53011","0413.23","4","Clark WA",0.147,0 
"53011","0413.25","1","Clark WA",0.5619,0 
"53011","0413.25","2","Clark WA",0.6898,0 
"53011","0413.25","3","Clark WA",0.5855,0 
"53011","0413.26","1","Clark WA",1.3447,0 
"53011","0413.27","1","Clark WA",1.7948,0 
"53011","0413.27","2","Clark WA",0.3823,0 
"53011","0413.27","3","Clark WA",0.1378,0 
"53011","0413.27","4","Clark WA",0.5367,0 
"53011","0413.28","1","Clark WA",0.2516,0 
"53011","0413.28","2","Clark WA",0.1399,0 
"53011","0413.28","3","Clark WA",1.7265,0 
"53011","0413.29","1","Clark WA",0.998,0 
"53011","0413.29","2","Clark WA",0.2346,0 
"53011","0413.30","1","Clark WA",0.1866,0 
"53011","0413.30","2","Clark WA",0.1861,0 
"53011","0413.30","3","Clark WA",0.3369,0 
"53011","0413.31","1","Clark WA",0.4369,0 
"53011","0413.31","2","Clark WA",0.1261,0 
"53011","0413.32","1","Clark WA",0.3453,0 
"53011","0413.32","2","Clark WA",0.2648,0 
"53011","0413.33","1","Clark WA",0.3575,0 
